Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-Aug-2020 at 13:12:11.
NREL 5MW Tower                                                                                     
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.242302E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.4866	 0.000000	 0.000000	 0.052110	 0.074683	 0.000000
 0.5137	 0.000000	 0.000000	 0.053982	 0.063648	 0.000000
 0.5407	 0.000000	 0.000000	 0.055533	 0.051051	 0.000000
 0.5677	 0.000000	 0.000000	 0.056722	 0.036864	 0.000000
 0.5947	 0.000000	 0.000000	 0.057507	 0.021119	 0.000000
 0.6217	 0.000000	 0.000000	 0.057845	 0.003859	 0.000000
 0.6487	 0.000000	 0.000000	 0.057697	-0.014923	 0.000000
 0.6758	 0.000000	 0.000000	 0.057021	-0.035098	 0.000000
 0.7028	 0.000000	 0.000000	 0.055782	-0.056620	 0.000000
 0.7298	 0.000000	 0.000000	 0.053943	-0.079434	 0.000000
 0.7568	 0.000000	 0.000000	 0.051473	-0.103341	 0.000000
 0.7839	 0.000000	 0.000000	 0.048342	-0.128285	 0.000000
 0.8109	 0.000000	 0.000000	 0.044525	-0.154094	 0.000000
 0.8379	 0.000000	 0.000000	 0.040001	-0.180567	 0.000000
 0.8649	 0.000000	 0.000000	 0.034754	-0.207613	 0.000000
 0.8919	 0.000000	 0.000000	 0.028773	-0.234916	 0.000000
 0.9189	 0.000000	 0.000000	 0.022051	-0.262320	 0.000000
 0.9460	 0.000000	 0.000000	 0.014588	-0.289657	 0.000000
 0.9730	 0.000000	 0.000000	 0.006393	-0.316555	 0.000000
 1.0000	 0.000000	 0.000000	-0.002523	-0.342886	 0.000000


 -------- Mode No.   6  (freq = 0.283031E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	-0.008565	-0.092634	 0.000000	 0.000000	 0.000000
 0.0035	-0.008890	-0.093911	 0.000000	 0.000000	-0.000008
 0.0104	-0.009552	-0.096350	 0.000000	 0.000000	-0.000024
 0.0174	-0.010231	-0.098637	 0.000000	 0.000000	-0.000040
 0.0244	-0.010926	-0.100771	 0.000000	 0.000000	-0.000057
 0.0313	-0.011634	-0.102756	 0.000000	 0.000000	-0.000073
 0.0383	-0.012356	-0.104592	 0.000000	 0.000000	-0.000089
 0.0453	-0.013091	-0.106280	 0.000000	 0.000000	-0.000105
 0.0522	-0.013836	-0.107824	 0.000000	 0.000000	-0.000121
 0.0592	-0.014592	-0.109223	 0.000000	 0.000000	-0.000137
 0.0662	-0.015357	-0.110481	 0.000000	 0.000000	-0.000154
 0.0731	-0.016131	-0.111599	 0.000000	 0.000000	-0.000170
 0.0801	-0.016911	-0.112580	 0.000000	 0.000000	-0.000186
 0.0870	-0.017698	-0.113425	 0.000000	 0.000000	-0.000202
 0.0940	-0.018491	-0.114136	 0.000000	 0.000000	-0.000218
 0.1010	-0.019288	-0.114717	 0.000000	 0.000000	-0.000234
 0.1079	-0.020088	-0.115169	 0.000000	 0.000000	-0.000250
 0.1149	-0.020891	-0.115495	 0.000000	 0.000000	-0.000267
 0.1219	-0.021696	-0.115698	 0.000000	 0.000000	-0.000283
 0.1288	-0.022502	-0.115781	 0.000000	 0.000000	-0.000299
 0.1358	-0.023309	-0.115746	 0.000000	 0.000000	-0.000315
 0.1399	-0.023784	-0.115672	 0.000000	 0.000000	-0.000324
 0.1497	-0.024918	-0.115337	 0.000000	 0.000000	-0.000347
 0.1567	-0.025720	-0.114968	 0.000000	 0.000000	-0.000363
 0.1636	-0.026519	-0.114495	 0.000000	 0.000000	-0.000379
 0.1706	-0.027315	-0.113920	 0.000000	 0.000000	-0.000395
 0.1776	-0.028106	-0.113247	 0.000000	 0.000000	-0.000411
 0.1845	-0.028892	-0.112481	 0.000000	 0.000000	-0.000428
 0.1915	-0.029672	-0.111623	 0.000000	 0.000000	-0.000444
 0.1985	-0.030446	-0.110680	 0.000000	 0.000000	-0.000460
 0.2054	-0.031213	-0.109653	 0.000000	 0.000000	-0.000476
 0.2124	-0.031973	-0.108548	 0.000000	 0.000000	-0.000492
 0.2194	-0.032725	-0.107369	 0.000000	 0.000000	-0.000508
 0.2263	-0.033468	-0.106119	 0.000000	 0.000000	-0.000524
 0.2333	-0.034203	-0.104804	 0.000000	 0.000000	-0.000540
 0.2403	-0.034928	-0.103427	 0.000000	 0.000000	-0.000556
 0.2472	-0.035643	-0.101993	 0.000000	 0.000000	-0.000572
 0.2507	-0.035997	-0.101256	 0.000000	 0.000000	-0.000580
 0.3203	-0.041790	-0.063679	 0.000000	 0.000000	-0.000932
 0.3797	-0.044344	-0.021851	 0.000000	 0.000000	-0.001272
 0.4248	-0.044511	 0.014389	 0.000000	 0.000000	-0.001556
 0.4596	-0.043491	 0.044064	 0.000000	 0.000000	-0.001793
 0.4866	-0.041980	 0.067537	 0.000000	 0.000000	-0.001988
 0.5137	-0.039835	 0.090952	 0.000000	 0.000000	-0.002194
 0.5407	-0.037064	 0.113753	 0.000000	 0.000000	-0.002412
 0.5677	-0.033691	 0.135469	 0.000000	 0.000000	-0.002642
